company,ticker,isin,announcement_url,source,t0_announcement,t0_effective
Wawel SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Wielton SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Wielton SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Wittchen SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Wittchen SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
XTPL SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
XTPL SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
ZE PAK SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
ZE PAK SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Śnieżka SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Śnieżka SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
