company,ticker,isin,announcement_url,announcement_date,join_date,effective_date,snippet,source
Kogeneracja SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Kogeneracja SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
LW Bogdanka SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
LW Bogdanka SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
MCI Capital ASI SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
MCI Capital ASI SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
ML System SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
ML System SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mabion SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mabion SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Medicalgorithmics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Medicalgorithmics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mennica Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mennica Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mercator Medical SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mercator Medical SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mercor SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mercor SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Molecure SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Molecure SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mostostal Zabrze SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mostostal Zabrze SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Murapol SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Murapol SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Onde SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Onde SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Oponeo.pl SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Oponeo.pl SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
PCC Rokita SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
PCC Rokita SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Pekabex SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Pekabex SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
PlayWay SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
PlayWay SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Polimex Mostostal SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Polimex Mostostal SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Quercus TFI SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Quercus TFI SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Rank Progress SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Rank Progress SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Ryvu Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Ryvu Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Sanok Rubber Company SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Sanok Rubber Company SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Scope Fluidics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Scope Fluidics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Selena FM SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Selena FM SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Selvita SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Selvita SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Shoper SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Shoper SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Stalexport Autostrady SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Stalexport Autostrady SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Stalprodukt SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Stalprodukt SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
